,Title,Distributor,AvgPerShow$,Net$,Gross$,Admissions,NumberShows,vote_average,popularity,adult,release_date,original_language,revenue,runtime,budget
667,TREE OF LIFE,Fox Searchlight,98.08,15097.16,15987.0,1981,162.99959216965743,0.0,0.6,False,1968-06-12,tl,0.0,85.0,0.0
668,TROUBLE WITH THE CURVE,WARNER BROS.,78.45,12997.1,14042.0,1641,178.99298916507328,6.931,27.356,False,2012-09-21,en,0.0,111.0,0.0
669,TRUE GRIT,Paramount Pictures,132.74,25189.95,26680.5,3350,200.99819195419616,7.0,0.662,False,1988-12-26,en,0.0,173.0,0.0
670,TRUE STORY,Fox Searchlight,47.76,2253.12,2388.0,253,50.0,8.474,3.895,False,2011-03-13,en,0.0,180.0,0.0
671,TRUMBO,BLEECKER STREET,114.43,10258.41,10870.5,1176,94.99694136153106,0.0,0.805,False,2006-09-22,en,0.0,0.0,0.0
672,TRUTH,sony pictures classics,61.03,1153.48,1220.5,135,19.998361461576273,6.189,6.905,False,1997-05-02,en,134831.0,106.0,0.0
673,TULIP FEVER,weinstein,43.86,2814.32,2982.5,323,68.00045599635203,6.552,23.612,False,2017-07-13,en,3425664.0,107.0,25000000.0
674,TWENTY FEET FROM STARDOM,weinstein,102.71,8649.35,9347.0,1104,91.0037970986272,7.355,7.282,False,2013-06-14,en,5892466.0,89.0,1000000.0
675,TWO DAYS ONE NIGHT,,76.37,3821.72,4047.5,452,52.9985596438392,6.903,11.924,False,2014-05-21,fr,6860853.0,95.0,7000000.0
676,UN PROPHET,SPC,57.07,1994.0,2111.5,272,36.99842298931137,7.598,12.141,False,2009-08-26,fr,17873691.0,155.0,13000000.0
677,UNBROKEN,Universal Pictures,160.69,8309.52,8838.0,1047,55.000311158130565,0.0,0.808,False,2005-05-22,en,0.0,60.0,0.0
678,UNFINISHED SONG,weinstein,118.28,6572.6,7097.0,864,60.00169090294217,6.8,6.978,False,2012-09-15,en,1697294.0,93.0,0.0
679,UNITED KINGDOM,FOX,116.82,7937.21,8411.0,912,71.99965759287794,0.0,1.442,False,2009-06-20,en,0.0,0.0,0.0
680,UP IN THE AIR,Paramount Pictures,155.67,20868.22,22104.5,2789,141.99588873899918,10.0,0.6,False,2011-07-07,es,0.0,34.0,5000.0
681,VALENTINES DAY,WARNER BROS.,113.92,5806.99,6151.5,753,53.998419943820224,0.0,1.86,False,2022-02-14,en,0.0,62.0,0.0
682,VIVA CUBA LIBRE: RAP IS W,FILMFEST 52,118.25,223.6,236.5,25,2.0,7.0,0.6,False,2013-03-02,en,0.0,78.0,0.0
683,WADJDA,SPC,321.0,297.3,321.0,36,1.0,7.267,9.663,False,2012-08-31,ar,1347747.0,98.0,0.0
684,WAITING FOR SUPERMAN,Paramount Vantage,105.61,5085.88,5386.0,686,50.99895843196667,0.0,0.6,False,2011-05-01,en,0.0,0.0,0.0
685,WALKING WITH THE ENEMY,liberty,74.34,2238.36,2379.0,291,32.00161420500403,6.491,8.201,False,2014-04-25,en,0.0,124.0,0.0
686,WALL STREET 2,FOX,112.85,6927.35,7335.0,925,64.99778466991582,2.7,1.996,False,2014-07-20,en,0.0,90.0,0.0
687,WAR OF THE BUTTONS,weinstein,34.8,483.6,522.0,66,15.000000000000002,6.009,6.851,False,2011-09-12,fr,12000000.0,109.0,0.0
688,WATER FOR ELEPHANTS,Fox Searchlight,130.4,16008.71,16952.0,2118,130.0,6.953,12.656,False,2011-04-15,en,117094902.0,122.0,38000000.0
689,WE HAVE A POPE,IFC,77.37,2724.0,2940.0,355,37.99922450562233,6.8,7.408,False,2011-04-15,it,0.0,100.0,11000000.0
690,WE NEED TO TALK ABOUT KEV,Oscilloscope Picture,90.93,3535.2,3819.0,452,41.99934015176509,7.561,19.337,False,2011-09-28,en,10765283.0,113.0,7000000.0
691,WE STEAL SECRETS,Focus Features,43.35,1042.85,1127.0,131,25.997693194925027,6.581,7.228,False,2013-05-24,en,602042.0,127.0,0.0
692,WEINER,sundance select,52.82,2044.93,2165.5,240,40.99772813328285,0.0,0.6,False,1975-08-04,de,0.0,34.0,0.0
693,WHAT MAISIE KNEW,,580.0,536.5,580.0,66,1.0,0.0,0.6,False,1995-12-22,fr,0.0,90.0,0.0
694,WHERE TO INVADE NEXT?,,96.5,4553.32,4825.0,522,50.0,7.28,9.207,False,2015-12-23,en,3820195.0,121.0,0.0
695,WHILE WERE YOUNG,A24,71.05,3352.64,3552.5,380,50.0,5.9,14.555,False,2015-04-03,en,17287309.0,97.0,10000000.0
696,WHIPLASH,Fox Searchlight,111.37,19509.35,20715.5,2308,186.00610577354763,0.0,0.6,False,2008-09-20,en,0.0,5.0,0.0
697,WILD,Fox Searchlight,132.1,17401.9,18494.5,2161,140.00378501135503,6.1,38.944,False,2020-09-08,en,0.0,85.0,0.0
698,WILSON,FOX,30.33,945.29,1001.0,109,33.003626772172765,6.4,0.6,False,2006-04-06,en,0.0,105.0,0.0
699,WIN WIN,Fox Searchlight,134.52,9528.28,10089.0,1259,75.0,0.0,0.6,False,1983-06-11,ko,0.0,88.0,0.0
700,WIND RIVER,weinstein,65.33,12697.18,13457.5,1445,205.99265268636157,6.5,0.6,False,2011-01-07,ja,0.0,25.0,0.0
701,WINTERS BONE,,110.23,16447.28,17416.0,2207,157.99691554023406,4.0,0.6,False,2010-10-26,en,0.0,47.0,0.0
702,WOMAN IN GOLD,weinstein,130.22,22362.85,23699.5,2556,181.99585317155584,10.0,0.6,False,2015-11-18,en,0.0,0.0,0.0
703,WORDS AND PICTURES,roadside attractions,86.42,4307.6,4580.0,548,52.996991437167324,6.5,8.824,False,2014-05-22,en,3346257.0,111.0,0.0
704,YOU WILL BE MY SON,,166.0,153.55,166.0,19,1.0,6.3,2.916,False,2011-08-23,fr,0.0,102.0,0.0
705,YOU WILL MEET A TALL DARK,SPC,82.3,3887.68,4115.0,530,50.0,5.909,9.219,False,2010-05-23,en,0.0,98.0,22000000.0
706,YOUNG ADULT,Paramount Pictures,97.54,8198.82,8681.5,1102,89.00451096985852,0.0,0.6,False,2015-09-02,en,0.0,10.0,0.0
707,YOUR SISTERS SISTER,IFC,82.13,4567.4,4928.0,593,60.002435163764765,6.493,7.704,False,2011-09-11,en,3242802.0,90.0,125000.0
708,ZERO DARK THIRTY,,126.77,10096.35,10902.0,1278,85.9982645736373,6.973,18.63,False,2012-12-19,en,132820716.0,157.0,40000000.0
